run,t_s,distance_to_boundary_m,label,confidence,band
reobservation_official,1202.64,2.714,bedrock,0.604,>=2.0m
reobservation_official,1205.4,2.795,bedrock,0.843,>=2.0m
reobservation_official,1208.09,2.812,bedrock,0.803,>=2.0m
reobservation_official,1210.72,2.833,bedrock,0.525,>=2.0m
reobservation_official,1216.64,2.883,bedrock,0.661,>=2.0m
reobservation_official,1220.18,2.895,soil,0.594,>=2.0m
reobservation_official,1222.81,2.895,bedrock,0.494,>=2.0m
reobservation_official,1225.65,2.884,soil,0.509,>=2.0m
reobservation_official,1228.29,2.853,soil,0.749,>=2.0m
reobservation_official,1232.37,2.787,soil,0.838,>=2.0m
reobservation_official,1236.8,2.564,soil,0.667,>=2.0m
reobservation_official,1240.59,2.339,soil,0.498,>=2.0m
reobservation_official,1250.19,2.079,soil,0.602,>=2.0m
reobservation_official,1253.59,2.075,soil,0.853,>=2.0m
reobservation_official,1256.82,2.053,bedrock,0.521,>=2.0m
reobservation_official,1259.72,2.05,soil,0.617,>=2.0m
reobservation_official,1263.32,2.078,bedrock,0.539,>=2.0m
reobservation_official,1267.2,2.126,bedrock,0.9,>=2.0m
reobservation_official,1271.51,2.172,soil,0.599,>=2.0m
reobservation_official,1274.85,2.192,bedrock,0.501,>=2.0m
reobservation_official,1280.84,2.269,bedrock,0.917,>=2.0m
reobservation_official,1286.0,2.289,bedrock,0.554,>=2.0m
reobservation_official,1291.08,2.48,bedrock,0.573,>=2.0m
reobservation_official,1293.9,2.641,bedrock,0.69,>=2.0m
reobservation_official,1299.25,2.953,bedrock,0.76,>=2.0m
reobservation_official,1302.18,2.994,bedrock,0.839,>=2.0m
reobservation_official,1306.2,2.991,bedrock,0.849,>=2.0m
reobservation_official,1311.46,2.991,bedrock,0.64,>=2.0m
reobservation_official,1314.16,2.997,bedrock,0.596,>=2.0m
reobservation_official,1317.51,2.934,soil,0.466,>=2.0m
reobservation_official,1320.31,2.933,soil,0.914,>=2.0m
reobservation_official,1323.23,2.869,soil,0.719,>=2.0m
reobservation_official,1328.35,2.814,bedrock,0.545,>=2.0m
reobservation_official,1332.89,2.781,soil,0.7,>=2.0m
reobservation_official,1337.96,2.602,soil,0.494,>=2.0m
reobservation_official,1345.44,2.29,soil,0.436,>=2.0m
reobservation_official,1349.13,2.093,soil,0.48,>=2.0m
reobservation_official,1353.08,1.898,soil,0.547,1.0-2.0m
reobservation_official,1357.23,1.646,uncertain,0.396,1.0-2.0m
reobservation_official,1361.83,1.459,bedrock,0.443,1.0-2.0m
reobservation_official,1367.08,1.311,soil,0.801,1.0-2.0m
reobservation_official,1372.93,0.997,soil,0.587,0.6-1.0m
reobservation_official,1376.41,0.946,soil,0.721,0.6-1.0m
reobservation_official,1379.94,0.749,sand,0.612,0.6-1.0m
reobservation_official,1383.68,0.541,sand,0.719,0.3-0.6m
reobservation_official,1389.66,0.482,sand,0.687,0.3-0.6m
reobservation_official,1394.62,0.468,sand,0.658,0.3-0.6m
reobservation_official,1397.48,0.423,soil,0.669,0.3-0.6m
reobservation_official,1401.55,0.374,sand,0.737,0.3-0.6m
reobservation_official,1409.6,0.32,sand,0.874,0.3-0.6m
reobservation_official,1412.61,0.265,soil,0.887,0.0-0.3m
